description,name,grade,address,phone,informatio,blklot,geometry
,Adda Clevenger Junior Preparatory,K - 8,180 Fair Oaks Street,415/824-2240,School for gifted children,3631014,"<Point><coordinates>-122.424465,37.753739</coordinates></Point>"
,Brandeis Hillel Day School,K - 8,655 Brotherhood Way,415/406-1035,Jewish day school,7380039,"<Point><coordinates>-122.472212,37.712217</coordinates></Point>"
,Childrens Day School,PK- 8,333 Dolores Street,415/861-5432,Expanding to 8th grade soon.,3567056,"<Point><coordinates>-122.425708,37.763858</coordinates></Point>"
,Convent of Sacred Heart Elementary School,K - 8,2222 Broadway,415/563-2900,Catholic; girls school; part of Schools of the Sacred Heart,0564070,"<Point><coordinates>-122.43396,37.794865</coordinates></Point>"
,Epiphany School,1 - 8,600 Italy Avenue,415/337-4030,Catholic,6353001,"<Point><coordinates>-122.434533,37.715723</coordinates></Point>"
,Hamlin School,K - 8,2120 Broadway Street,415/922-0300,Girls school,0565024,"<Point><coordinates>-122.432554,37.795073</coordinates></Point>"
,Lisa Hampner Hebrew Academy,PK - 12,645 14th Avenue,415/752-7333,Jewish day school,1630007,"<Point><coordinates>-122.472874,37.776097</coordinates></Point>"
,Immaculate Conception Academy,9 - 12,3625 24th Street,415/824-2052,Catholic; all girls,6512027,"<Point><coordinates>-122.423347,37.751753</coordinates></Point>"
,International Christian School,PK - 8,42 Waller Street,415/863-1691,First Baptist Church,0856003,"<Point><coordinates>-122.42423,37.772228</coordinates></Point>"
,Laurel School,PK - 8,350 9th Avenue,415/752-3567,<Null>,1440011,"<Point><coordinates>-122.467013,37.781832</coordinates></Point>"
,Live Oak School,K - 8,1555 Mariposa Street,415/861-8840,<Null>,4005006,"<Point><coordinates>-122.398929,37.763484</coordinates></Point>"
,Meadows-Livingstone School,1 - 6,1499 Potrero Avenue,415/695-7735,<Null>,4277016,"<Point><coordinates>-122.404838,37.749628</coordinates></Point>"
,Mission Dolores School,K - 8,3371 16th Street,415/861-7673,Catholic,3566055,"<Point><coordinates>-122.427713,37.76407</coordinates></Point>"
,Our Lady of Visitacion School,K - 8,795 Sunnydale Ave,415/239-7840,Catholic,6309122,"<Point><coordinates>-122.409412,37.709763</coordinates></Point>"
,Presidio Hill School,K - 8,3839 Washington Street,415/751-9318,<Null>,0992034,"<Point><coordinates>-122.45606,37.788584</coordinates></Point>"
,St. Anthony-Immaculate Conception School,K - 8,299 Precita Avenue,415/648-2008,Catholic,5502003,"<Point><coordinates>-122.41425,37.747502</coordinates></Point>"
,St. Brendan's School,K - 8,940 Laguna Honda Boulevard,415/731-2665,Catholic,2915001,"<Point><coordinates>-122.455924,37.742854</coordinates></Point>"
,St. Cecilia School,K - 8,660 Vicente Street,415/731-8400,Catholic,2418004B,"<Point><coordinates>-122.47401,37.73995</coordinates></Point>"
,St. Charles School,K - 8,3250 18th Street,415/861-7652,Catholic,3574085,"<Point><coordinates>-122.416443,37.762323</coordinates></Point>"
,Stratford School,K - 2,301 De Montfort Avenue,415/333-3134,Catholic,6940001,"<Point><coordinates>-122.461561,37.723148</coordinates></Point>"
,St. Gabriel School,K - 8,2550 41st Avenue,415/566-0314,Catholic,2441052,"<Point><coordinates>-122.498771,37.739532</coordinates></Point>"
,St. James School,K - 8,321 Fair Oaks Street,415/647-8972,Catholic,6512030,"<Point><coordinates>-122.423768,37.751653</coordinates></Point>"
,St. John's School,K - 8,925 Chenery Street,415/584-8383,Catholic,6736034,"<Point><coordinates>-122.437496,37.734789</coordinates></Point>"
,St. Mary's Chinese Day School,K - 8,910 Broadway,415/929-4690,Catholic,0149009,"<Point><coordinates>-122.412375,37.797475</coordinates></Point>"
,Kipp Bayview Academy,5 - 8,1060 Key Avenue,415/467-2522,Private?,4994002,"<Point><coordinates>-122.396219,37.719517</coordinates></Point>"
,St. Peter's School,K - 8,1266 Florida Street,415/647-8662,Catholic,4269028,"<Point><coordinates>-122.41036,37.7517</coordinates></Point>"
,St. Philip's School,K - 8,665 Elizabeth Street,415/824-8467,Catholic,2831024,"<Point><coordinates>-122.435538,37.751758</coordinates></Point>"
,Sts. Peter and Paul Salesian School,K - 8,660 Filbert Street,415/421-5219,Catholic,0089016,"<Point><coordinates>-122.410437,37.801422</coordinates></Point>"
,San Francisco Waldorf School,K - 12,2938 Washington Street,415/931-2750,<Null>,0980082,"<Point><coordinates>-122.441941,37.79091</coordinates></Point>"
,Stuart Hall High School,9 - 12,1715 Octavia Street,415/563-2900,Opened in Fall 2000; Catholic boys school; part of Schools of the Sacred Heart,0663002,"<Point><coordinates>-122.427294,37.788251</coordinates></Point>"
,Synergy School,K - 8,1387 Valencia Street,415/567-6177,Moved to new site in Fall 1999.,6515037,"<Point><coordinates>-122.4202,37.750874</coordinates></Point>"
,West Portal Lutheran School (1-3),1 - 3,1711 37th Avenue,415/665-6330,1-3 campus,2012049,"<Point><coordinates>-122.496172,37.754918</coordinates></Point>"
,Archbishop Riordan High School,9 - 12,175 Phelan Avenue,415/586-8200,Catholic,3180002,"<Point><coordinates>-122.454277,37.727921</coordinates></Point>"
,Bethel Center,9 - 12,2557 Alemany Boulevard,415/586-4977,Special Ed Program,7045001A,"<Point><coordinates>-122.446511,37.714723</coordinates></Point>"
,Cathedral School for Boys,K - 8,1275 Sacramento Street,415/771-6600,Episcopal Boys school,0246001,"<Point><coordinates>-122.413383,37.792008</coordinates></Point>"
,Chinese American International School,PK - 8,150 Oak Street,415/865-6000,Bilingual curriculum taught in English and Mandarin Chinese,0833003,"<Point><coordinates>-122.421832,37.775381</coordinates></Point>"
,Cornerstone Academy - Campus 1,PK - 4,801 Silver Avenue,415/587-7256,"(PK - 4 campus) Preschool and kindergarten instruction is offered in bilingual Cantonese, Chinese, English; Chinese is offered as a 2nd language.",5900A025,"<Point><coordinates>-122.418325,37.729583</coordinates></Point>"
,Cornerstone Academy - Campus 2,5 - 10,501 Cambridge Street,415/585-5183,"(5 - 10 campus) Preschool and kindergarten instruction is offered in bilingual Cantonese, Chinese, English; Chinese is offered as a 2nd language.",5992A059,"<Point><coordinates>-122.416847,37.724953</coordinates></Point>"
,Corpus Christi School,K - 8,75 Francis Street,415/587-7014,Catholic,6796052,"<Point><coordinates>-122.435264,37.727179</coordinates></Point>"
,DeMarillac Middle School,6 - 8,135 Golden Gate Avenue,415/552-5220,"Opened in 2001, Catholic, serves underprivileged children in the Tenderloin",0349012,"<Point><coordinates>-122.413031,37.781666</coordinates></Point>"
,Discovery Center School,K - 8,65 Ocean Avenue,415/333-6609,<Null>,6954018,"<Point><coordinates>-122.438326,37.723301</coordinates></Point>"
,Drew College Preparatory School,9 - 12,2901 California Street,415/409-3739,<Null>,1029001,"<Point><coordinates>-122.442291,37.78756</coordinates></Point>"
,Ecole Notre Dames des Victoires,K - 8,659 Pine Street,415/421-0069,Catholic,0271023,"<Point><coordinates>-122.406467,37.791117</coordinates></Point>"
,Fellowship Academy,PK - 8,495 Cambridge Street,415/239-0511,<Null>,5992A060,"<Point><coordinates>-122.41732,37.725719</coordinates></Point>"
,Freeman School,K - 8,862 28th Avenue,415/379-6949,formerly Shalom School,1670009,"<Point><coordinates>-122.486934,37.773382</coordinates></Point>"
,Hillwood Academic Day School,K - 8,2521 Scott Street,415/931-0400,<Null>,0961002,"<Point><coordinates>-122.440119,37.793323</coordinates></Point>"
,Holy Name School,K - 8,1560 40th Avenue,415/731-4077,,1885053,"<Point><coordinates>-122.498905,37.757697</coordinates></Point>"
,Holy Trinity Orthodox School,K - 8,999 Brotherhood Way,415/581-8451,<Null>,7380016,"<Point><coordinates>-122.482003,37.713867</coordinates></Point>"
,Katherine Delmar Burke School,K - 8,7070 California Street,415/751-0177,Girls school,1392037,"<Point><coordinates>-122.4934,37.784938</coordinates></Point>"
,Katherine Michiels School,PK - 5,1335 Guerrero Street,415/821-1434,Offers program that emphasizes the arts and Spanish. Special program for kids with Dyslexia/Learning Disabilities.,6532026,"<Point><coordinates>-122.42231,37.749818</coordinates></Point>"
,Kittredge School,1 - 8,2355 Lake Street,415/750-8390,,1384016,"<Point><coordinates>-122.484957,37.785507</coordinates></Point>"
,Krouzian Armenian School,PK - 8,825 Brotherhood Way,415/586-8686,Christian bilingual school,7380026,"<Point><coordinates>-122.478318,37.713841</coordinates></Point>"
,La Mel School,K - 12,1801 Bush Street,415/931-1972,Special ed school,0674001,"<Point><coordinates>-122.427216,37.787503</coordinates></Point>"
,Lick Wilmerding High School,9 - 12,755 Ocean Avenue,415/333-4021,<Null>,6948023,"<Point><coordinates>-122.44898,37.722322</coordinates></Point>"
,Lycee Francais La Perouse San Francisco,PK - 12,755 Ashbury Street,415/661-5232,French school,1254011,"<Point><coordinates>-122.446968,37.76797</coordinates></Point>"
,Maria Montessori Elementary School,PK - 6,678 Portola Drive,415/731-8188,<Null>,2892004,"<Point><coordinates>-122.453427,37.745055</coordinates></Point>"
